example	zero-poss	zero-copula	double-tense	be-construction	resultant-done	finna	come	double-modal	multiple-neg	neg-inversion	n-inv-neg-concord	aint	zero-3sg-pres-s	is-was-gen	zero-pl-s	double-object	wh-qu
He throw aksed in	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
He aksed rock in	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the man and crawleded on the ground	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
, and the man crawleded on the ground	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the and crawleded on the ground	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the man and crawled was on the ground	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the man and dawned on the ground	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the man and crawled on the ground	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anybody getting drownded in Princeville.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anybody getting drownded in of Princeville.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anybody getting drownded Princeville.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anybody getting drown in Princeville.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anybody getting drown up in Princeville.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
anybody getting drown here in Princeville.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
we lookeded like a carpet.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
we lookeded like, a.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lookeded like a carpet.	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
we looked like a carpet.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
we looked was like a carpet.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
we it looked like a carpet.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I just be liking the beat	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I just be to beat the	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I just be liking the beat to	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I would just be liking the beat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I just liking the beat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
just be liking the beat	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
like and then I be seeing these	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
and stuff like I be seeing these	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
then like I be seeing these	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
like and then I will be seeing these	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
like and then I seeing these	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
like and then I wanna be these	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
These mamas be letting they little boys dance	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
These mamas be letting little boys dance	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
These mama be letting they little boys dance	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
These ma could be letting they little boys dance	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
These mamas they would be little boys dance	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I be trying to either get too deep into politics. I be listening to it	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I be trying to either get into too politics. I be listening to it	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I be trying to either get too deep into. I be listening to it	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
I wanna be to either get too deep into politics. I could be to it	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I could be to either get too deep into politics I mean. listening to it	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
be trying to either get too deep into politics. I would be to it	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
that niggas be bringing out	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
that these niggas be bringing out	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
that niggas be bringing out rap	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
that niggas out to be	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
that niggas to be out	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
that niggas is bringing out	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
you done lost your mind.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
you done lost your life.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
you done lost In your mind.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
you lost your mind.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
have you done your mind.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
you done your mind.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
because I done did a few folks from 	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
interesting because I done did a few folks from 	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
because I done did it a few folks from 	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
because I done a few folks from	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
because I done quite a few folks from	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
because I done a few years from	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I guess she done slept with everybody the first semester so she gay now.	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I guess she done slept with everybody the first semester And so she now.	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I guess she done slept with everybody first semester so she gay now.	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
I guess she slept with everybody the first semester so she gay now.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I guess she done with everybody the first semester so she gay now.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I guess she was done with everybody the first semester so she gay now.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
we played, I done forgot the name of it	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
we I mean, done forgot the name of it	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
we, and I done forgot the name of it	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
we played I, forgot the name of it	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
we played, I forgot the name of it	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
we played, I done of the name of it	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
well, you done automatically won your	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
well, you done went automatically won your	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
, you done automatically won your	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
well done, you know automatically won your	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
well, you automatically won your	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
well, you know automatically won your	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
so now I'm finna get into some more	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
so now, I'm finna get into some more	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
so now I'm finna get into some football more	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
so now I'm tryna get into some more	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The two-thousands finna be considered old.	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
The two finna be considered old.	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
The two-thousands finna be considered.	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
The two-thousands tryna be considered old.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
She's finna have a baby.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
She's finna a baby.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
She's like finna have a baby.	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
She's tryna have a baby.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I was finna say she	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
I was finna get she	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
I was finna say the she	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
I was tryna say she	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
she didn't really never worked in the	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
she didn't really never was in the	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
she didn't really never been in the	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
she didn't really worked in the	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
she didn't was never really in the	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
she didn't know really never worked in the	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
oh my god I'm finna die like, I'm	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
oh my god I'm finna, like, I'm	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
oh my god I'm finna to die like, I'm	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
oh my god I'm tryna die like, I'm 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
So when she come grabbing me on	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
So, when she come grabbing me on	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
So she come grabbing me on	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
So when she me to come on	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
So when she grabbing me on	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
So when she would come me on	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
But he come tryna tell us about	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
But he come tryna tell us about?	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
he come tryna tell us about	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
But he, tryna come tell us about	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
But he come try to tell us about	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
But he you tryna come tell us about	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
over there, he come running there	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
over there, come running there	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
go over there, he come running there	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
over there, and he come there	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
over there, and he running there	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
over there, and he come over there	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the stop thing, come walking up to your	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
the thing, and come walking up to your	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
the stop, come walking up to your	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
the stop thing, come up with to your	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the stop thing, walking up to your	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
the stop, come on walking up to your	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
before you come accusing blindly.	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
, before you come accusing blindly.	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
you before you come accusing blindly.	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
before you come out accusing blindly.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
before you accusing blindly.	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
before when you come blindly.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
which you might can use as a sort	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
which you might can, as a sort	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
which you might can use yourself as a sort	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
which you can use as a sort	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
which you might I can use a sort	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
which, you can use as a sort	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
or something, I might can't hear from them 	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
, or I might can't hear from them 	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
or something, I might can don't hear from them 	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
or something I mean, can't hear from them	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
or something, I might You can't hear from them	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
or something I, can't hear from them	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
that same talent might can translate in a 	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
that same you might can translate in a 	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
that same might can use translate in a 	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
that same talent, can translate in a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
that same talent can translate in a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cause he might could really get our	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
cause he might could get our	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
cause he might could really get into	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
cause he really could get our	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cause he could really get our	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cause he I really could get our	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I mean I may can sort of demonstrate	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I mean I may can of demonstrate	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I mean I may can, sort of	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
I mean I may sort of demonstrate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I mean, I can sort of demonstrate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I mean I may of sort demonstrate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I don't never really have a response.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I don't never really have a response time.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I don't never really have a minute.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I don't know really have a response.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I don't really know have a response.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I don't really have a response.	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
crazy we ain't even get to eat nothing or none of that shit	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
crazy we you ain't even get to eat nothing or none of that shit	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
crazy we didn't even get to eat nothing or none of that shit	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
crazy we ain't even get to eat or something of that shit	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
You know, never did have no children	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
know, never did have no children	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
You know, never did I have no children	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
You know, did have no children	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
You know did, have no children	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
You know, never did you have children	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I ain't doing nothing wrong	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
I ain't nothing wrong	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
I ain't doing nothing wrong.	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
I ain't doing wrong	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
so the kids ain't no different	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
, so the ain't no different	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
so the kids I ain't no different	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
so the kids ain't know different	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
so the kids ain't different	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Don't nobody know what I had	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Don't nobody I know had	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Don't nobody know what I	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Don't know what I had	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Don't you know what I had	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Don't let nobody know what I had	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
awhile, and don't no man want no woman that's just	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Um, and don't no man want no woman that's just	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
awhile, and I don't no man want no woman that's just	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
awhile, and don't know man want woman that's just	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cause can't nobody make nobody do what they 	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Cause can't nobody make what do they 	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Cause can't nobody make nobody they do	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
Cause can don't make nobody make do what they	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Cause can't make it nobody do what they	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cause you can't nobody make nobody do what they	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
It ain't nothing to tell about.	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0
It ain't got nothing to tell about.	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
It ain't know nothing to tell about.	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
It ain't to tell you about.	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
It ain't know to tell about.	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
It ain't to tell about.	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
I mean, shouldn't no town have problems	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
I mean, shouldn't no town have problems with	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
I mean shouldn't no town have problems	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
I mean, shouldn't have no have problems	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
I mean, shouldn't know town have problems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
I mean, shouldn't I have no problems	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
who did it, nobody don't say nothing.	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
out who did it, nobody don't say nothing.	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
who was it, nobody don't say nothing.	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
who did it, you don't say nothing.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
who did, and it don't say nothing.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
who did it, don't say nothing.	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
No one can't go against the wave.	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
No one can't go against the wall.	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
No one can't go against the street.	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
